Experiment,SMs,Policy,TotalCycles,Instructions,IPC,MemInsts,MemTxns,Occupancy,BlocksPerSM
cache_small,1,LRU,2815,160,0.06,160,640,1.00,16
cache_small,1,FIFO,2815,160,0.06,160,640,1.00,16
cache_small,1,Random,2655,160,0.06,160,640,1.00,16
